AAPL
ABBV
ABT
ACN
AGL
AIG
AMZN
AXP
BA
BAC
BIIB
BK
BLK
C
CAT
CCL
CL
CMCSA
COF
COP
COST
CSCO
CVS
GE
GM
GOOG
JNJ
JPM
KMI
KO
LMT
M
MNSO
MO
MON
MRK
MS
MSFT
NEE
NKE
NVDA
OKTA
ORCL
OXY
PARA
PCLN
PEP
PFE
PG
PM
PYPL
QCOM
RTN
SBUX
SEB
SHOP
SLB
SO
SPG
T
TD.TO
UNP
UPS
USB
QQQQQ
